ELEMENT_GLOBAL_ID,Scientific Name,Common Name,Taxonomic Group
130517,Astragalus troglodytus,Creeping Milkvetch,Flowering Plants
146792,Astragalus tyghensis,Tygh Valley Milkvetch,Flowering Plants
154911,Astragalus uncialis,Currant Milkvetch,Flowering Plants
160714,Astragalus webberi,Webber's Milkvetch,Flowering Plants
152558,Astragalus welshii,Welsh's Milkvetch,Flowering Plants
132943,Astrophytum asterias,Star Cactus,Flowering Plants
140765,Atriplex cordulata,Heartleaf Saltbush,Flowering Plants
157071,Atriplex depressa,Bittlescale,Flowering Plants
127970,Atriplex erecticaulis,Earlimart Saltbush,Flowering Plants
150150,Atriplex griffithsii,Griffiths' Saltbush,Flowering Plants
133794,Atriplex joaquiniana,San Joaquin Saltbush,Flowering Plants
148821,Atriplex klebergorum,Klebergs' Saltbush,Flowering Plants
150487,Atriplex minuscula,Lesser Saltbush,Flowering Plants
159715,Atriplex navajoensis,Navajo Saltbush,Flowering Plants
149110,Atriplex parishii,Parish's Saltbush,Flowering Plants
133338,Atriplex persistens,Sacramento Saltbush,Flowering Plants
152889,Atriplex subtilis,Deltoid-bract Saltbush,Flowering Plants
160941,Atriplex vallicola,Lost Hills Saltbush,Flowering Plants
151636,Ayenia limitaris,Texas Ayenia,Flowering Plants
156330,Baccharis malibuensis,Malibu Coyote Brush,Flowering Plants
157399,Baccharis vanessae,Encinitis Baccharis,Flowering Plants
132712,Balduina atropurpurea,Purple Balduina,Flowering Plants
157477,Baptisia arachnifera,Hairy Rattleweed,Flowering Plants
133591,Baptisia megacarpa,Apalachicola Wild Indigo,Flowering Plants
143955,Bartonia texana,Texas Screwstem,Flowering Plants
902322,Basiphyllaea corallicola,Carter's Orchid,Flowering Plants
133568,Batesimalva violacea,Purple Gay-mallow,Flowering Plants
134050,Berberis harrisoniana,Kofa Barberry,Flowering Plants
146118,Berberis nevinii,Nevin's Barberry,Flowering Plants
139454,Bergerocactus emoryi,Golden-spined Cereus,Flowering Plants
129165,Besseya oblongifolia,Eggleaf Coral-drops,Flowering Plants
137235,Blennosperma bakeri,Baker's Blennosperma,Flowering Plants
156687,Blephilia subnuda,Cumberland Pagoda-plant,Flowering Plants
143414,Bloomeria humilis,Dwarf Goldenstar,Flowering Plants
818631,Boechera evadens,,Flowering Plants
131731,Boechera hoffmannii,Hoffmann's Rockcress,Flowering Plants
873998,Boechera nevadensis,Boechera nevadensis,Flowering Plants
865004,Boechera serpenticola,,Flowering Plants
865007,Boechera shevockii,,Flowering Plants
770689,Boechera yorkii,Boechera yorkii,Flowering Plants
151627,Boerhavia mathisiana,Mathi's Spiderling,Flowering Plants
161342,Boltonia decurrens,Decurrent False Aster,Flowering Plants
160676,Bonamia grandiflora,Florida Lady's-nightcap,Flowering Plants
142118,Bonamia ovalifolia,Bigpod Lady's-nightcap,Flowering Plants
143978,Bourreria radula,Rough Strongbark,Flowering Plants
130547,Bouteloua kayi,Kay's Grama,Flowering Plants
732419,Brazoria enquistii,Brazoria enquistii,Flowering Plants
156359,Brodiaea filifolia,Threadleaf Brodiaea,Flowering Plants
155443,Brodiaea insignis,Kaweah Brodiaea,Flowering Plants
156990,Brodiaea kinkiensis,San Clemente Island Brodiaea,Flowering Plants
865302,Brodiaea matsonii,Brodiaea matsonii,Flowering Plants
129441,Brodiaea orcuttii,Orcutt's Brodiaea,Flowering Plants
128359,Brodiaea pallida,Chinese Camp Brodiaea,Flowering Plants
158705,Brodiaea stellaris,Star-flower Brodiaea,Flowering Plants
