SpeciesCode,HUCID
IsotriaMedeoloides,0305010515
IsotriaMedeoloides,0305010902
IsotriaMedeoloides,0306010102
IsotriaMedeoloides,0509010301
IsotriaMedeoloides,0509020102
IsotriaMedeoloides,0202000107
IsotriaMedeoloides,0202000205
IsotriaMedeoloides,0202000206
IsotriaMedeoloides,0202000207
IsotriaMedeoloides,0202000303
IsotriaMedeoloides,0202000304
IsotriaMedeoloides,0202000305
IsotriaMedeoloides,0202000310
IsotriaMedeoloides,0202000311
IsotriaMedeoloides,0202000411
IsotriaMedeoloides,0108020502
IsotriaMedeoloides,0108020503
IsotriaMedeoloides,0108020504
IsotriaMedeoloides,0108020505
IsotriaMedeoloides,0108020506
IsotriaMedeoloides,0108020507
IsotriaMedeoloides,0108020508
IsotriaMedeoloides,0108020509
IsotriaMedeoloides,0108020701
IsotriaMedeoloides,0108020704
IsotriaMedeoloides,0108020705
IsotriaMedeoloides,0108020706
IsotriaMedeoloides,0110000104
IsotriaMedeoloides,0110000106
IsotriaMedeoloides,0110000107
IsotriaMedeoloides,0110000201
IsotriaMedeoloides,0110000202
IsotriaMedeoloides,0110000203
IsotriaMedeoloides,0110000301
IsotriaMedeoloides,0110000302
IsotriaMedeoloides,0110000303
IsotriaMedeoloides,0110000401
IsotriaMedeoloides,0110000402
IsotriaMedeoloides,0110000403
IsotriaMedeoloides,0110000503
IsotriaMedeoloides,0110000507
IsotriaMedeoloides,0110000508
IsotriaMedeoloides,0110000509
IsotriaMedeoloides,0110000510
IsotriaMedeoloides,0110000511
IsotriaMedeoloides,0110000512
IsotriaMedeoloides,0110000513
IsotriaMedeoloides,0110000601
IsotriaMedeoloides,0110000602
IsotriaMedeoloides,0110000603
IsotriaMedeoloides,0108020603
IsotriaMedeoloides,0108020702
IsotriaMedeoloides,0108020703
IsotriaMedeoloides,0110000101
IsotriaMedeoloides,0110000103
IsotriaMedeoloides,0110000504
IsotriaMedeoloides,0110000506
IsotriaMedeoloides,0110000604
IsotriaMedeoloides,0203010103
IsotriaMedeoloides,0203020300
IsotriaMedeoloides,0109000501
IsotriaMedeoloides,0109000503
IsotriaMedeoloides,0110000105
IsotriaMedeoloides,0207001002
IsotriaMedeoloides,0207001003
IsotriaMedeoloides,0204020506
IsotriaMedeoloides,0204020507
IsotriaMedeoloides,0204020508
IsotriaMedeoloides,0204020701
IsotriaMedeoloides,0204020505
IsotriaMedeoloides,0206000204
IsotriaMedeoloides,0601010806
IsotriaMedeoloides,0108020107
IsotriaMedeoloides,0108020106
IsotriaMedeoloides,0107000402
